L/R;Position Real;Rotation Real;Rotation Real Normalized
L;(0.972, 1.306, -13.038);(326.874, 293.997, 334.932);(0.591, 0.532, 0.606)
L;(0.972, 1.306, -13.038);(326.794, 293.794, 334.996);(0.591, 0.532, 0.606)
L;(0.972, 1.306, -13.038);(326.831, 293.796, 334.822);(0.592, 0.532, 0.606)
L;(0.972, 1.306, -13.038);(326.930, 293.829, 334.602);(0.592, 0.532, 0.606)
L;(0.977, 1.298, -13.028);(328.863, 292.908, 336.348);(0.593, 0.529, 0.607)
L;(0.977, 1.298, -13.029);(328.906, 293.057, 336.384);(0.593, 0.529, 0.607)
L;(0.977, 1.298, -13.029);(329.155, 293.226, 336.091);(0.594, 0.529, 0.606)
L;(0.977, 1.298, -13.029);(329.036, 293.206, 335.927);(0.594, 0.529, 0.606)
L;(0.976, 1.299, -13.029);(328.581, 292.959, 335.890);(0.593, 0.529, 0.607)
L;(0.975, 1.299, -13.029);(327.766, 292.821, 336.021);(0.592, 0.529, 0.607)
L;(0.975, 1.300, -13.029);(327.318, 292.562, 336.103);(0.592, 0.529, 0.608)
L;(0.975, 1.300, -13.029);(327.209, 292.520, 336.363);(0.592, 0.529, 0.608)
L;(0.974, 1.300, -13.030);(327.391, 292.568, 336.741);(0.592, 0.529, 0.609)
L;(0.974, 1.300, -13.030);(327.758, 292.896, 337.002);(0.592, 0.529, 0.608)
L;(0.974, 1.300, -13.030);(328.048, 293.101, 337.045);(0.592, 0.529, 0.608)
L;(0.975, 1.300, -13.030);(328.136, 293.073, 336.806);(0.592, 0.529, 0.608)
L;(0.975, 1.299, -13.030);(328.043, 292.989, 336.748);(0.592, 0.529, 0.608)
L;(0.975, 1.299, -13.030);(327.859, 292.780, 336.878);(0.592, 0.529, 0.608)
L;(0.975, 1.299, -13.030);(327.822, 292.730, 337.038);(0.592, 0.529, 0.609)
L;(0.975, 1.299, -13.030);(327.879, 292.725, 337.084);(0.592, 0.528, 0.609)
L;(0.975, 1.298, -13.031);(328.178, 292.941, 337.152);(0.592, 0.529, 0.608)
L;(0.976, 1.297, -13.032);(328.724, 293.336, 337.042);(0.593, 0.529, 0.608)
L;(0.977, 1.297, -13.032);(329.082, 293.572, 336.706);(0.593, 0.529, 0.607)
L;(0.977, 1.296, -13.032);(329.043, 293.210, 336.362);(0.593, 0.529, 0.607)
L;(0.977, 1.297, -13.031);(328.722, 292.944, 336.583);(0.593, 0.529, 0.607)
L;(0.977, 1.297, -13.031);(328.608, 293.009, 336.876);(0.593, 0.529, 0.608)
L;(0.978, 1.296, -13.032);(328.790, 293.114, 337.013);(0.593, 0.529, 0.608)
L;(0.979, 1.296, -13.032);(328.994, 293.282, 336.939);(0.593, 0.529, 0.607)
L;(0.980, 1.296, -13.032);(329.121, 293.424, 336.673);(0.593, 0.529, 0.607)
L;(0.981, 1.296, -13.031);(329.187, 293.328, 336.362);(0.594, 0.529, 0.607)
L;(0.982, 1.296, -13.031);(329.223, 293.035, 336.280);(0.594, 0.529, 0.607)
L;(0.983, 1.297, -13.030);(329.184, 292.822, 336.580);(0.594, 0.528, 0.607)
L;(0.984, 1.298, -13.030);(329.215, 292.754, 336.783);(0.594, 0.528, 0.607)
L;(0.984, 1.298, -13.029);(329.192, 292.932, 336.910);(0.593, 0.528, 0.607)
L;(0.984, 1.299, -13.029);(329.100, 293.142, 336.927);(0.593, 0.528, 0.607)
L;(0.984, 1.300, -13.029);(329.093, 293.147, 336.679);(0.593, 0.529, 0.607)
L;(0.985, 1.301, -13.029);(329.170, 293.171, 336.323);(0.594, 0.529, 0.607)
L;(0.985, 1.302, -13.029);(329.278, 293.280, 336.072);(0.594, 0.529, 0.606)
L;(0.985, 1.304, -13.029);(329.099, 293.255, 336.050);(0.594, 0.529, 0.606)
L;(0.984, 1.306, -13.030);(328.755, 293.468, 336.072);(0.593, 0.530, 0.606)
L;(0.984, 1.307, -13.030);(328.487, 294.089, 335.767);(0.593, 0.531, 0.606)
L;(0.984, 1.309, -13.031);(328.357, 294.704, 335.192);(0.593, 0.532, 0.605)
L;(0.984, 1.311, -13.032);(328.125, 295.076, 334.529);(0.593, 0.533, 0.604)
L;(0.985, 1.313, -13.032);(327.857, 295.319, 333.956);(0.592, 0.534, 0.603)
L;(0.985, 1.315, -13.033);(327.686, 295.433, 333.490);(0.592, 0.534, 0.603)
L;(0.986, 1.317, -13.034);(327.598, 295.858, 333.173);(0.592, 0.535, 0.602)
L;(0.986, 1.320, -13.037);(327.406, 297.182, 332.008);(0.592, 0.537, 0.600)
L;(0.986, 1.322, -13.038);(327.132, 297.930, 331.195);(0.592, 0.539, 0.599)
L;(0.986, 1.324, -13.040);(326.766, 298.968, 330.065);(0.592, 0.541, 0.598)
L;(0.987, 1.326, -13.042);(326.588, 299.920, 328.871);(0.592, 0.543, 0.596)
L;(0.987, 1.329, -13.044);(326.471, 300.391, 327.843);(0.592, 0.545, 0.594)
L;(0.988, 1.332, -13.046);(326.385, 300.858, 327.181);(0.592, 0.546, 0.593)
L;(0.988, 1.335, -13.048);(326.219, 301.347, 326.988);(0.592, 0.546, 0.593)
L;(0.988, 1.339, -13.050);(325.930, 301.873, 327.031);(0.591, 0.547, 0.593)
L;(0.989, 1.342, -13.052);(325.815, 302.484, 326.827);(0.590, 0.548, 0.592)
