L/R;Position Real;Position Virtual;Distance;Rotation Real;Rotation Virtual;Rotation Similarity;Rotation Real Normalized;Rotation Virtual Normalized
R;(0.984, 1.237, -13.321);(0.982, 1.238, -13.323);0,003;(293.743, 220.745, 127.068);(293.584, 221.105, 127.123);0,9999927;(0.756, 0.568, 0.327);(0.755, 0.569, 0.327)
R;(0.984, 1.237, -13.321);(0.982, 1.238, -13.323);0,003;(293.743, 220.745, 127.068);(293.584, 221.105, 127.123);0,9999927;(0.756, 0.568, 0.327);(0.755, 0.569, 0.327)
R;(0.984, 1.237, -13.320);(0.982, 1.238, -13.323);0,004;(293.684, 220.881, 126.962);(293.584, 221.105, 127.123);0,9999943;(0.755, 0.568, 0.327);(0.755, 0.569, 0.327)
R;(0.984, 1.237, -13.320);(0.982, 1.237, -13.323);0,004;(293.684, 220.881, 126.962);(293.676, 220.922, 127.323);0,999994;(0.755, 0.568, 0.327);(0.755, 0.568, 0.327)
R;(0.985, 1.236, -13.320);(0.982, 1.237, -13.323);0,004;(293.364, 219.667, 129.067);(293.676, 220.922, 127.323);0,9999734;(0.755, 0.565, 0.332);(0.755, 0.568, 0.327)
R;(0.985, 1.236, -13.320);(0.982, 1.236, -13.323);0,004;(293.364, 219.667, 129.067);(293.901, 220.483, 127.803);0,9999747;(0.755, 0.565, 0.332);(0.756, 0.567, 0.329)
R;(0.986, 1.236, -13.321);(0.982, 1.236, -13.323);0,005;(293.271, 221.037, 128.834);(293.901, 220.483, 127.803);0,9998928;(0.754, 0.568, 0.331);(0.756, 0.567, 0.329)
R;(0.986, 1.236, -13.321);(0.982, 1.235, -13.323);0,005;(293.271, 221.037, 128.834);(294.242, 219.839, 128.508);0,9998782;(0.754, 0.568, 0.331);(0.756, 0.565, 0.330)
R;(0.988, 1.235, -13.320);(0.982, 1.235, -13.323);0,006;(292.847, 220.520, 130.088);(294.242, 219.839, 128.508);0,9997381;(0.753, 0.567, 0.334);(0.756, 0.565, 0.330)
R;(0.988, 1.235, -13.320);(0.982, 1.233, -13.323);0,006;(292.847, 220.520, 130.088);(294.773, 218.884, 129.558);0,9996858;(0.753, 0.567, 0.334);(0.757, 0.562, 0.333)
R;(0.989, 1.233, -13.322);(0.982, 1.233, -13.323);0,006;(292.270, 220.476, 131.510);(294.773, 218.884, 129.558);0,999303;(0.751, 0.567, 0.338);(0.757, 0.562, 0.333)
R;(0.989, 1.233, -13.322);(0.982, 1.232, -13.322);0,006;(292.270, 220.476, 131.510);(295.270, 218.039, 130.490);0,9992187;(0.751, 0.567, 0.338);(0.758, 0.560, 0.335)
R;(0.990, 1.232, -13.322);(0.982, 1.232, -13.322);0,008;(292.015, 220.373, 132.358);(295.270, 218.039, 130.490);0,9989524;(0.751, 0.566, 0.340);(0.758, 0.560, 0.335)
R;(0.990, 1.232, -13.322);(0.982, 1.230, -13.322);0,008;(292.015, 220.373, 132.358);(295.765, 217.238, 131.377);0,99884;(0.751, 0.566, 0.340);(0.759, 0.557, 0.337)
R;(0.990, 1.234, -13.323);(0.982, 1.230, -13.322);0,009;(293.164, 220.783, 132.414);(295.765, 217.238, 131.377);0,9989685;(0.751, 0.566, 0.339);(0.759, 0.557, 0.337)
R;(0.990, 1.234, -13.323);(0.982, 1.231, -13.322);0,009;(293.164, 220.783, 132.414);(295.539, 217.598, 130.978);0,9990034;(0.751, 0.566, 0.339);(0.758, 0.558, 0.336)
R;(0.990, 1.234, -13.324);(0.982, 1.231, -13.322);0,008;(293.070, 220.660, 132.570);(295.539, 217.598, 130.978);0,9989762;(0.751, 0.566, 0.340);(0.758, 0.558, 0.336)
R;(0.990, 1.234, -13.324);(0.982, 1.231, -13.322);0,008;(293.070, 220.660, 132.570);(295.418, 217.795, 130.760);0,9989927;(0.751, 0.566, 0.340);(0.758, 0.559, 0.336)
R;(0.991, 1.233, -13.325);(0.982, 1.231, -13.322);0,009;(293.094, 221.389, 132.365);(295.418, 217.795, 130.760);0,998804;(0.751, 0.567, 0.339);(0.758, 0.559, 0.336)
R;(0.991, 1.233, -13.325);(0.982, 1.230, -13.322);0,009;(293.094, 221.389, 132.365);(295.665, 217.397, 131.201);0,9987678;(0.751, 0.567, 0.339);(0.759, 0.558, 0.337)
R;(0.991, 1.233, -13.326);(0.982, 1.230, -13.322);0,010;(293.136, 221.854, 132.059);(295.665, 217.397, 131.201);0,9987074;(0.750, 0.568, 0.338);(0.759, 0.558, 0.337)
R;(0.991, 1.233, -13.326);(0.982, 1.230, -13.322);0,010;(293.136, 221.854, 132.059);(295.800, 217.183, 131.438);0,9986839;(0.750, 0.568, 0.338);(0.759, 0.557, 0.337)
R;(0.992, 1.233, -13.326);(0.982, 1.230, -13.322);0,011;(293.080, 221.783, 132.132);(295.800, 217.183, 131.438);0,9986736;(0.750, 0.568, 0.338);(0.759, 0.557, 0.337)
R;(0.992, 1.233, -13.326);(0.982, 1.229, -13.322);0,011;(293.080, 221.783, 132.132);(295.936, 216.971, 131.674);0,9986477;(0.750, 0.568, 0.338);(0.759, 0.557, 0.338)
R;(0.993, 1.233, -13.327);(0.982, 1.229, -13.322);0,012;(292.728, 221.659, 132.192);(295.936, 216.971, 131.674);0,998593;(0.750, 0.568, 0.339);(0.759, 0.557, 0.338)
R;(0.993, 1.233, -13.327);(0.982, 1.229, -13.322);0,012;(292.728, 221.659, 132.192);(296.206, 216.560, 132.132);0,9985288;(0.750, 0.568, 0.339);(0.760, 0.555, 0.339)
R;(0.993, 1.233, -13.328);(0.982, 1.229, -13.322);0,013;(292.563, 221.637, 131.969);(296.206, 216.560, 132.132);0,9985706;(0.750, 0.568, 0.338);(0.760, 0.555, 0.339)
R;(0.993, 1.231, -13.329);(0.982, 1.228, -13.322);0,013;(291.903, 221.718, 131.534);(296.245, 216.501, 132.197);0,9984706;(0.750, 0.569, 0.338);(0.760, 0.555, 0.339)
R;(0.993, 1.231, -13.329);(0.982, 1.227, -13.322);0,014;(291.903, 221.718, 131.534);(296.568, 216.024, 132.730);0,9983565;(0.750, 0.569, 0.338);(0.760, 0.554, 0.340)
R;(0.994, 1.232, -13.330);(0.982, 1.227, -13.322);0,015;(292.213, 221.923, 131.258);(296.568, 216.024, 132.730);0,998474;(0.750, 0.569, 0.337);(0.760, 0.554, 0.340)
R;(0.994, 1.232, -13.330);(0.982, 1.227, -13.322);0,015;(292.213, 221.923, 131.258);(296.567, 216.026, 132.728);0,9984744;(0.750, 0.569, 0.337);(0.760, 0.554, 0.340)
R;(0.994, 1.232, -13.330);(0.982, 1.227, -13.322);0,015;(292.314, 222.012, 131.213);(296.567, 216.026, 132.728);0,9984894;(0.750, 0.570, 0.337);(0.760, 0.554, 0.340)
R;(0.994, 1.232, -13.330);(0.982, 1.227, -13.322);0,015;(292.314, 222.012, 131.213);(296.574, 216.015, 132.740);0,998487;(0.750, 0.570, 0.337);(0.760, 0.554, 0.340)
